Count,Film,Year,IMDB_score,Length_in_minute,Year_of_birth_for_lead_actor,Budget,Gross
24,My Bloody Valentine 3D,2009,5.5,101,1978,#N/A,#N/A
24,Push,2009,6.1,111,1986,#N/A,#N/A
23,King Kong,2005,7.2,187,1968,207000000,218051260
23,Mission: Impossible III,2006,6.9,126,1962,150000000,133382309
22,Charlie Wilson's War,2007,7.1,102,1956,75000000,66636385
22,Formula 51,2001,6.1,93,1948,28000000,5204007
22,Stardust,2007,7.7,107,1982,70000000,38345403
22,Wasabi,2001,6.6,94,1948,15300000,81525
22,No Country for Old Men,2007,8.1,122,1946,25000000,74273505
22,Shaft,2000,5.9,99,1948,46000000,70327868
21,Assault On Precinct 13,2005,6.3,109,1970,20000000,19976073
21,The Departed,2006,8.5,151,1974,90000000,132373442
20,Crime Spree,2003,6.6,105,1948,#N/A,#N/A
20,Kung Fu Hustle,2004,7.8,99,1962,20000000,17104669
