Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
20111028,Puss in Boots,130000000.00,149260504.00,554987477.00
20101105,Megamind,130000000.00,148415853.00,321887208.00
20030718,Bad Boys II,130000000.00,138540870.00,273271982.00
20140411,Rio 2,130000000.00,131538435.00,493738435.00
20100723,Salt,130000000.00,118311368.00,290650494.00
20140328,Noah,130000000.00,101200044.00,352831065.00
20111221,The Adventures of Tintin,130000000.00,77591831.00,373993951.00
20130531,After Earth,130000000.00,60522097.00,251499665.00
20081126,Australia,130000000.00,49554002.00,215080810.00
20130719,R.I.P.D.,130000000.00,33618855.00,79076678.00
20111118,"The Twilight Saga: Breaking Dawn, Part 1",127500000.00,281287133.00,689420051.00
20000519,Dinosaur,127500000.00,137748063.00,356148063.00
20170303,Logan,127000000.00,226277068.00,615577068.00
20141219,Night at the Museum: Secret of the Tomb,127000000.00,113746621.00,356546621.00
20110715,Harry Potter and the Deathly Hallows: Part II,125000000.00,381011219.00,1341511219.00
20141121,The Hunger Games: Mockingjay - Part 1,125000000.00,337135885.00,766652288.00
20011116,Harry Potter and the Sorcerer’s Stone,125000000.00,317575550.00,974755371.00
20030709,Pirates of the Caribbean: The Curse of the Black Pearl,125000000.00,305411224.00,634954103.00
20101119,Harry Potter and the Deathly Hallows: Part I,125000000.00,295983305.00,960283305.00
20060519,The Da Vinci Code,125000000.00,217536138.00,767820459.00
20030502,X2,125000000.00,214949694.00,406875536.00
20110429,Fast Five,125000000.00,209837675.00,629969804.00
20140808,Teenage Mutant Ninja Turtles,125000000.00,191204754.00,485004754.00
20111216,Sherlock Holmes: A Game of Shadows,125000000.00,186848418.00,535663443.00
20040528,The Day After Tomorrow,125000000.00,186740799.00,556319450.00
20170331,The Boss Baby,125000000.00,174928568.00,492754356.00
20100401,Clash of the Titans,125000000.00,163214888.00,493214888.00
20161104,Trolls,125000000.00,153707064.00,344780046.00
19980519,Godzilla,125000000.00,136314294.00,376000000.00
20120608,Prometheus,125000000.00,126477084.00,402448265.00
20120810,The Bourne Legacy,125000000.00,113203870.00,280355920.00
19970620,Batman & Robin,125000000.00,107325195.00,238317814.00
20120803,Total Recall,125000000.00,58877969.00,211856088.00
20161221,Assassin’s Creed,125000000.00,54647948.00,240497948.00
20170113,Monster Trucks,125000000.00,33370166.00,61681268.00
19990827,The 13th Warrior,125000000.00,32698899.00,61698899.00
20001117,How the Grinch Stole Christmas,123000000.00,260044825.00,345141403.00
20000524,Mission: Impossible 2,120000000.00,215409889.00,549588516.00
20000630,The Perfect Storm,120000000.00,182618434.00,328711434.00
20160729,Jason Bourne,120000000.00,162192920.00,416197059.00
20070615,Fantastic Four: Rise of the Silver Surfer,120000000.00,131921738.00,289480691.00
20121121,Life of Pi,120000000.00,124987022.00,607987022.00
20070216,Ghost Rider,120000000.00,115802596.00,229545589.00
20030627,Charlie's Angels: Full Throttle,120000000.00,100814328.00,227200000.00
20130809,Elysium,120000000.00,93050117.00,286192091.00
20130419,Oblivion,120000000.00,89107235.00,287916633.00
20170324,Power Rangers,120000000.00,85364450.00,140845191.00
20020719,Stuart Little 2,120000000.00,64956806.00,166000000.00
20140212,RoboCop,120000000.00,58607007.00,242981799.00
20040611,The Chronicles of Riddick,120000000.00,57712751.00,107212751.00
20150807,Fantastic Four,120000000.00,56117548.00,167977596.00
20080509,Speed Racer,120000000.00,43945766.00,93394462.00
20050722,The Island,120000000.00,35818913.00,163018913.00
20101217,How Do You Know?,120000000.00,30212620.00,49628177.00
20100623,Knight and Day,117000000.00,76423035.00,258751370.00
19990519,Star Wars Ep. I: The Phantom Menace,115000000.00,474544677.00,1027044677.00
20050519,Star Wars Ep. III: Revenge of the Sith,115000000.00,380270577.00,848998877.00
20020516,Star Wars Ep. II: Attack of the Clones,115000000.00,310676740.00,656695615.00
20011102,"Monsters, Inc.",115000000.00,289423425.00,559757719.00
20130726,The Wolverine,115000000.00,132556852.00,416456852.00
19970207,Dante's Peak,115000000.00,67163857.00,178200000.00
20160422,The Huntsman: Winter’s War,115000000.00,48003015.00,165149302.00
20020614,Windtalkers,115000000.00,40914068.00,77628265.00
20080704,Astérix aux Jeux Olympiques,113500000.00,999811.00,132999811.00
20101225,Gulliver's Travels,112000000.00,42779261.00,232017848.00
20131004,Gravity,110000000.00,274092705.00,695941797.00
20061222,Night at the Museum,110000000.00,250863268.00,579446407.00
20050610,Mr. and Mrs. Smith,110000000.00,186336279.00,486124090.00
20150529,San Andreas,110000000.00,155190832.00,469590832.00
20110729,The Smurfs,110000000.00,142614158.00,563749323.00
20070627,Live Free or Die Hard,110000000.00,134529403.00,382288147.00
20150320,The Divergent Series: Insurgent,110000000.00,130179072.00,295279072.00
20041210,Ocean's Twelve,110000000.00,125531634.00,362989076.00
19971219,Tomorrow Never Dies,110000000.00,125304276.00,339504276.00
20000628,The Patriot,110000000.00,113330342.00,215300000.00
20140307,300: Rise of an Empire,110000000.00,106580051.00,330780051.00
20041217,The Aviator,110000000.00,102608827.00,208370892.00
20161221,Passengers,110000000.00,100014092.00,302211243.00
20110114,The Green Hornet,110000000.00,98780042.00,229155503.00
20160930,Miss Peregrine’s Home for Peculiar Children,110000000.00,87242834.00,296642834.00
20111007,Real Steel,110000000.00,85463309.00,263880341.00
20100611,The A-Team,110000000.00,77222099.00,177241171.00
20130731,The Smurfs 2,110000000.00,71017784.00,348547523.00
20160318,The Divergent Series: Allegiant,110000000.00,66184051.00,171484051.00
20090612,The Taking of Pelham 123,110000000.00,65452312.00,152364370.00
20131101,Ender's Game,110000000.00,61737191.00,127983283.00
20040402,Home on the Range,110000000.00,50026353.00,76482461.00
19970613,Speed 2: Cruise Control,110000000.00,48097081.00,150468000.00
20050506,Kingdom of Heaven,110000000.00,47398413.00,218853353.00
20170331,Ghost in the Shell,110000000.00,40563557.00,167918847.00
20040616,Around the World in 80 Days,110000000.00,24004159.00,72004159.00
20011219,The Lord of the Rings: The Fellowship of the Ring,109000000.00,315544750.00,887210985.00
20031121,The Cat in the Hat,109000000.00,101018283.00,133818283.00
20011225,Ali,109000000.00,58183966.00,87683966.00
20151002,The Martian,108000000.00,228433663.00,663851905.00
20040716,"I, Robot",105000000.00,144801023.00,348629585.00
19991217,Stuart Little,105000000.00,140015224.00,298815224.00
20091125,The Princess and the Frog,105000000.00,104400899.00,270997378.00
20080307,"10,000 B.C.",105000000.00,94784201.00,269065678.00
20160722,Ice Age: Collision Course,105000000.00,64063008.00,403841637.00
20010427,Town & Country,105000000.00,6712451.00,10364769.00
20000609,Gone in 60 Seconds,103300000.00,101643008.00,232643008.00
20000505,Gladiator,103000000.00,187683805.00,457683805.00
20130523,The Hangover 3,103000000.00,112200072.00,362000072.00
20180309,A Wrinkle in Time,103000000.00,0.00,0.00
20090701,Public Enemies,102500000.00,97104620.00,212282709.00
20061117,Casino Royale,102000000.00,167365000.00,594420283.00
20020621,Minority Report,102000000.00,132024714.00,358824714.00
20121026,Cloud Atlas,102000000.00,27108272.00,130673154.00
20021115,Harry Potter and the Chamber of Secrets,100000000.00,261987880.00,878979634.00
19910702,Terminator 2: Judgment Day,100000000.00,202441046.00,514397701.00
19950616,Batman Forever,100000000.00,184031112.00,336529144.00
20010727,Planet of the Apes,100000000.00,180011740.00,362211740.00
20041119,National Treasure,100000000.00,173005002.00,331323410.00
20121225,Django Unchained,100000000.00,162805434.00,449948323.00
20101222,Little Fockers,100000000.00,148438600.00,310650574.00
19940715,True Lies,100000000.00,146282411.00,365300000.00
20071102,American Gangster,100000000.00,130164645.00,267985456.00
20090918,Cloudy with a Chance of Meatballs,100000000.00,124870275.00,236827677.00
20100806,The Other Guys,100000000.00,119219978.00,170936470.00
20041217,Lemony Snicket's A Series of Unfortunate Events,100000000.00,118627117.00,212956024.00
20131225,The Wolf of Wall Street,100000000.00,116900694.00,389870414.00
20130524,Epic,100000000.00,107518682.00,262794441.00
19960621,Eraser,100000000.00,101295562.00,234400000.00
19960621,The Hunchback of Notre Dame,100000000.00,100138851.00,325500000.00
20001215,The Emperor's New Groove,100000000.00,89296573.00,169296573.00
20120817,The Expendables 2,100000000.00,85028192.00,311979256.00
20091016,Where the Wild Things Are,100000000.00,77233467.00,99123656.00
20061215,Eragon,100000000.00,75030163.00,249488115.00
20140725,Hercules,100000000.00,72688614.00,243388614.00
20101210,The Tourist,100000000.00,67631157.00,278731369.00
19991124,End of Days,100000000.00,66889043.00,212026975.00
20040611,The Stepford Wives,100000000.00,59475623.00,96221971.00
20070608,Surf's Up,100000000.00,58867694.00,145395745.00
20061208,Blood Diamond,100000000.00,57377916.00,171377916.00
20100924,Legend of the Guardians: The Owls of Ga'Hoole,100000000.00,55675313.00,139716717.00
19971107,Starship Troopers,100000000.00,54768952.00,121100000.00
20090605,Land of the Lost,100000000.00,49438370.00,69548641.00
20031225,Peter Pan,100000000.00,48417850.00,95255485.00
20040723,Catwoman,100000000.00,40202379.00,82145379.00
20140815,The Expendables 3,100000000.00,39322544.00,209461378.00
20021127,Treasure Planet,100000000.00,38120554.00,91800000.00
20100312,Green Zone,100000000.00,35497337.00,97523020.00
20151225,Point Break,100000000.00,28782481.00,128131571.00
20151211,In the Heart of the Sea,100000000.00,25020758.00,90420758.00
20140418,Transcendence,100000000.00,23022309.00,103039258.00
20050218,Son of the Mask,100000000.00,17018422.00,59918422.00
20020816,The Adventures of Pluto Nash,100000000.00,4411102.00,7094995.00
20120120,Jin líng shí san chai,100000000.00,311434.00,98227017.00
20190315,Amusement Park,100000000.00,0.00,0.00
20151106,The Peanuts Movie,99000000.00,130178411.00,250474038.00
20010504,The Mummy Returns,98000000.00,202007640.00,435040395.00
20021220,Gangs of New York,97000000.00,77730500.00,183124621.00
20170519,Alien: Covenant,97000000.00,74249538.00,231695077.00
20150313,Cinderella,95000000.00,201151353.00,534551353.00
20120713,Ice Age: Continental Drift,95000000.00,161321843.00,879765137.00
20011228,Black Hawk Down,95000000.00,108638745.00,159691085.00
20100527,Sex and the City 2,95000000.00,95347692.00,294680778.00
20100212,Percy Jackson & the Olympians: The Lightning Thief,95000000.00,88768303.00,223050874.00
20120810,The Campaign,95000000.00,86907746.00,104907746.00
20101112,Unstoppable,95000000.00,81562942.00,169511609.00
19970509,The Fifth Element,95000000.00,63570862.00,263898808.00
20000331,The Road to El Dorado,95000000.00,50802661.00,65700000.00
20091211,The Lovely Bones,95000000.00,44114232.00,94894448.00
20160819,Ben-Hur,95000000.00,26410477.00,88725100.00
20150206,Seventh Son,95000000.00,17223265.00,110623265.00
20030530,Finding Nemo,94000000.00,380529370.00,936429370.00
20031217,The Lord of the Rings: The Return of the King,94000000.00,377845905.00,1141403341.00
20021218,The Lord of the Rings: The Two Towers,94000000.00,342548984.00,934699645.00
20010615,Lara Croft: Tomb Raider,94000000.00,131144183.00,273330185.00
20150213,Kingsman: The Secret Service,94000000.00,128261724.00,404561724.00
20010718,Jurassic Park III,93000000.00,181166115.00,365900000.00
20110805,Rise of the Planet of the Apes,93000000.00,176760185.00,482860185.00
20080214,The Spiderwick Chronicles,92500000.00,71195053.00,162839667.00
20041105,The Incredibles,92000000.00,261441092.00,614726752.00
20130214,A Good Day to Die Hard,92000000.00,67349198.00,304249198.00
20040409,The Alamo,92000000.00,22406362.00,23911362.00
19951222,Cutthroat Island,92000000.00,10017322.00,18517322.00
20131225,The Secret Life of Walter Mitty,91000000.00,58236838.00,188536838.00
19970701,Men in Black,90000000.00,250690539.00,587790539.00
19991119,Toy Story 2,90000000.00,245852179.00,511358276.00
20010803,Rush Hour 2,90000000.00,226164286.00,347425832.00
20091225,Sherlock Holmes,90000000.00,209028679.00,498438212.00
20090701,Ice Age: Dawn of the Dinosaurs,90000000.00,196573705.00,859701857.00
20000721,What Lies Beneath,90000000.00,155464351.00,288693989.00
20110415,Rio,90000000.00,143619809.00,487519809.00
20061006,The Departed,90000000.00,132384315.00,289660619.00
20001103,Charlie's Angels,90000000.00,125305545.00,259736090.00
19980619,Mulan,90000000.00,120620254.00,303500000.00
20080813,Tropic Thunder,90000000.00,110461307.00,191091250.00
20111220,The Girl with the Dragon Tattoo,90000000.00,102515793.00,239373970.00
19970711,Contact,90000000.00,100920329.00,165900000.00
20080606,You Don't Mess With the Zohan,90000000.00,100018837.00,202910991.00
19950519,Die Hard: With a Vengeance,90000000.00,100012499.00,366101666.00
20160923,The Magnificent Seven,90000000.00,93427848.00,159762983.00
20151218,Alvin and the Chipmunks: The Road Chip,90000000.00,85886987.00,249520430.00
20010608,Atlantis: The Lost Empire,90000000.00,84052762.00,186049020.00
20081225,Valkyrie,90000000.00,83077762.00,203902107.00
20150724,Pixels,90000000.00,78747585.00,244126300.00
20010629,Artificial Intelligence: AI,90000000.00,78616689.00,235900000.00
20031126,The Haunted Mansion,90000000.00,75817994.00,155750628.00
20000804,Hollow Man,90000000.00,73209340.00,191200000.00
20050422,The Interpreter,90000000.00,72708161.00,162753837.00
20130807,Percy Jackson: Sea of Monsters,90000000.00,68559554.00,200859554.00
20030725,Lara Croft: Tomb Raider: The Cradle of Life,90000000.00,65653758.00,157092943.00
20160610,Now You See Me 2,90000000.00,65075540.00,328675540.00
20011121,Spy Game,90000000.00,62362560.00,143049560.00
19970404,The Saint,90000000.00,61363304.00,169400000.00
20000310,Mission to Mars,90000000.00,60874615.00,106000000.00
19991217,Bicentennial Man,90000000.00,58220776.00,87420776.00
20040707,King Arthur,90000000.00,51877963.00,203877963.00
19970425,Volcano,90000000.00,47546796.00,120100000.00
19970326,The Devil's Own,90000000.00,42885593.00,140900000.00
20020719,K-19: The Widowmaker,90000000.00,35168966.00,65716126.00
20110819,Conan the Barbarian,90000000.00,21295021.00,63356133.00
